Nome,Previsto,Effettivo (2024),Differenza
Sam Long,45.933495,61.0,15.066505432128906
Jodi Jones,28.98469,44.0,15.015310287475586
Dennis Smarsch,45.98769,31.0,14.987689971923828
Alessandro Lopane,33.02719,48.0,14.972808837890625
Fabian de Keijzer,45.972282,31.0,14.972282409667969
Hannes Sveijer,45.96222,31.0,14.96221923828125
Dheeraj Singh Moirangthem,45.953438,31.0,14.953437805175781
Luca Gemello,45.95329,31.0,14.953289031982422
Jack Warshawsky,45.95227,31.0,14.9522705078125
Lucas Perrin,61.05034,76.0,14.949661254882812
Casper Andersson,45.946774,31.0,14.946773529052734
Đorđe Petrović,45.946564,31.0,14.946563720703125
Franco Israel,45.940636,31.0,14.940635681152344
Jędrzej Grobelny,45.940254,31.0,14.940254211425781
Sebastian Selin,45.939964,31.0,14.939964294433594
Stefan Drljača,45.90313,31.0,14.903129577636719
Yaimar Medina,40.246754,55.0,14.753246307373047
Ole Pohlmann,33.28895,48.0,14.711048126220703
Salih Özcan,61.303223,76.0,14.69677734375
Micky van de Ven,64.329216,79.0,14.670783996582031
Sinan Karweina,24.382124,39.0,14.617876052856445
Jairo Concha,45.404266,60.0,14.595733642578125
Riccardo Ciervo,31.55906,46.0,14.440940856933594
Aljaž Casar,46.588394,61.0,14.411605834960938
Lee Evans,51.666008,66.0,14.333992004394531
Tomasz Pieńko,32.24468,18.0,14.244678497314453
Jack Clarke,25.90325,40.0,14.096750259399414
Grégoire Coudert,43.07056,29.0,14.070560455322266
Amir Hadžiahmetović,56.954388,71.0,14.045612335205078
Tommaso Milanese,35.975475,50.0,14.024524688720703
Shandon Baptiste,53.987946,68.0,14.012054443359375
Storm Strand-Kolbjørnsen,46.001957,32.0,14.001956939697266
Jonas Urbig,45.98504,32.0,13.985038757324219
Lasse Rieß,45.982666,32.0,13.982666015625
Xavier Dziekoński,45.95457,32.0,13.954570770263672
Nils De Mol,45.95306,32.0,13.953060150146484
Joey Kesting,45.951527,32.0,13.951526641845703
Felix Wienand,45.949734,32.0,13.94973373413086
Max Weiß,45.944244,32.0,13.944244384765625
Alessandro Buongiorno,65.060875,79.0,13.939125061035156
Tijjani Reijnders,57.08197,71.0,13.91802978515625
Celestin De Schrevel,45.917583,32.0,13.917583465576172
Jamie McGrath,44.085144,58.0,13.91485595703125
Maurice Dehler,38.91451,25.0,13.914508819580078
Heorhii Sudakov,38.263237,52.0,13.736763000488281
Jaushua Sotirio,30.279446,44.0,13.72055435180664
Jean Lambert Evan's,47.38235,61.0,13.61764907836914
Prabhsukhan Gill,42.529305,29.0,13.529304504394531
Trevoh Chalobah,64.49047,78.0,13.509529113769531
Mamadou Fofana,55.499466,69.0,13.500534057617188
Julian Chabot,63.615204,77.0,13.384796142578125
Paul Izzo,41.644413,55.0,13.355587005615234
Bilal Brahimi,33.692055,47.0,13.307945251464844
Jarrod Carluccio,28.751245,42.0,13.248754501342773
Gino Infantino,34.780888,48.0,13.219112396240234
William Balikwisha,27.790186,41.0,13.209814071655273
Patric Pfeiffer,60.80378,74.0,13.196220397949219
Sam McCallum,52.815403,66.0,13.18459701538086
Matte Smets,50.85386,64.0,13.146141052246094
Jamal Blackman,38.141003,25.0,13.141002655029297
Marius Hauptmann,38.937923,52.0,13.062076568603516
Mauro Luna Diale,44.99125,58.0,13.008750915527344
Laurin Mack,45.987923,33.0,12.987922668457031
Alessandro Lai,45.965008,33.0,12.965007781982422
Emre Bilgin,45.954636,33.0,12.954635620117188
Bartosz Klebaniuk,45.952156,33.0,12.952156066894531
Yannik Bangsow,45.95205,33.0,12.952049255371094
Harvey Wiles-Richards,45.950592,33.0,12.950592041015625
Will Dennis,45.941517,33.0,12.941516876220703
Nico Mantl,45.938564,33.0,12.93856430053711
Ahmad Taleb,45.936726,33.0,12.936725616455078
Mutlaq Al Hurayji,45.933735,33.0,12.933734893798828
Nicolas Lemaître,45.902653,33.0,12.902652740478516
Cheick Conde,56.244938,69.0,12.755062103271484
Wout Faes,64.24694,77.0,12.753059387207031
Skelly Alvero,51.33124,64.0,12.668758392333984
Benno Schmitz,62.34923,75.0,12.650768280029297
Myles Peart-Harris,39.388256,52.0,12.611743927001953
Sikou Niakaté,64.4633,77.0,12.536697387695312
Saël Kumbedi,52.512028,65.0,12.487972259521484
Jorge Grant,44.57763,57.0,12.422370910644531
Guillaume Hubert,29.585012,42.0,12.414987564086914
Federico Dimarco,61.590065,74.0,12.409934997558594
Adrian Mazilu,22.650784,35.0,12.34921646118164
Habib Diarra,53.682743,66.0,12.317256927490234
Fredrik Aursnes,61.75639,74.0,12.243610382080078
Jack Robinson,59.91699,72.0,12.083011627197266
Jean-Charles Castelletto,61.932423,74.0,12.067577362060547
Hugo Magnetti,55.979057,68.0,12.020942687988281
Dennis Dressel,49.003826,61.0,11.996173858642578
Hans Christian Bernat,45.974728,34.0,11.974727630615234
Joe Walsh,46.0326,58.0,11.967399597167969
Clarke Oduor,45.033028,57.0,11.966972351074219
Reece Oxford,63.03473,75.0,11.96527099609375
Maximilian Braune,45.957966,34.0,11.957965850830078
Nicola Bagnolini,45.953003,34.0,11.9530029296875
Markus Ponath,45.943436,34.0,11.943435668945312
Giovanni Garofani,45.94072,34.0,11.940719604492188
Giorgio Scalvini,66.07755,78.0,11.922447204589844
Sulaiman Asiri,35.08425,47.0,11.915748596191406
Calem Nieuwenhof,52.146942,64.0,11.853057861328125
Noé Lebreton,50.18585,62.0,11.814151763916016
Enrico Brignola,23.215406,35.0,11.78459358215332
Maximiliano Caufriez,61.259434,73.0,11.74056625366211
Vitaly Janelt,61.271336,73.0,11.72866439819336
Mai Traore,30.714396,19.0,11.714395523071289
Mamadou Sangare,33.29816,45.0,11.701839447021484
Erich Berko,29.379011,41.0,11.620988845825195
Juan José Cáceres,58.379063,70.0,11.62093734741211
Waniss Taïbi,41.423985,53.0,11.57601547241211
András Schäfer,52.46939,64.0,11.530609130859375
Franco Díaz,52.51748,64.0,11.482521057128906
Kenzo Goudmijn,44.53014,56.0,11.469860076904297
Mirlind Kryeziu,53.555176,65.0,11.44482421875
Isak Hien,63.626213,75.0,11.373786926269531
Silas Gnaka,58.627914,70.0,11.372085571289062
Luke McNally,59.646553,71.0,11.353446960449219
Betim Fazliji,51.654423,63.0,11.345577239990234
Benedikt Gimber,59.68422,71.0,11.315780639648438
Henry Hore,28.684998,40.0,11.31500244140625
Philip Fahrner,45.733974,57.0,11.26602554321289
Bonke Innocent,56.800587,68.0,11.199413299560547
Jordan Bos,50.84257,62.0,11.157428741455078
Manuel García,57.92485,69.0,11.075149536132812
Noel Buck,37.94453,49.0,11.055469512939453
Sander Tangvik,45.96634,57.0,11.033660888671875
Mark O'Hara,53.99427,65.0,11.005729675292969
Noah Atubolu,46.00036,35.0,11.000358581542969
Igoh Ogbu,62.003815,73.0,10.996185302734375
Lassi Lappalainen,42.003986,53.0,10.996013641357422
Jerome Opoku,61.029297,72.0,10.970703125
Jon McCracken,45.96571,35.0,10.965709686279297
Leopold Wahlstedt,45.965427,35.0,10.96542739868164
Ortwin De Wolf,45.96405,35.0,10.96405029296875
Mario Dorgeles,39.042236,50.0,10.957763671875
Jakub Stolarczyk,45.94788,35.0,10.947879791259766
Alberto Dossena,61.0758,72.0,10.924198150634766
Romeo Lavia,61.114372,72.0,10.885627746582031
Jack Bonham,32.12417,43.0,10.875831604003906
Alexander Sørloth,25.140575,36.0,10.859424591064453
Victor Loturi,49.193203,60.0,10.80679702758789
Isaac Price,44.19626,55.0,10.803741455078125
Kevin Martin Krygård,52.197113,63.0,10.802886962890625
Naorem Mahesh Singh,20.21752,31.0,10.782480239868164
Mats Wieffer,61.218147,72.0,10.781852722167969
Juan Cruz Komar,60.22286,71.0,10.777141571044922
Alessandro Di Pardo,50.23009,61.0,10.769908905029297
Arda Güler,41.235157,52.0,10.764842987060547
William Osula,32.739464,22.0,10.739463806152344
Marc-Aurèle Caillard,33.31186,44.0,10.688140869140625
Maximilian Bauer,64.346146,75.0,10.653854370117188
Eric Martel,64.35511,75.0,10.644889831542969
Luis Miguel Marquines,45.58743,35.0,10.58742904663086
Nicolás Romero,60.451035,71.0,10.548965454101562
Ben Thompson,51.4536,62.0,10.546398162841797
Dael Fry,63.469135,74.0,10.530864715576172
Armando Obispo,61.50573,72.0,10.494270324707031
Matías González,59.45285,49.0,10.452850341796875
Andy Diouf,55.57054,66.0,10.429458618164062
Youssouf Koné,53.575054,64.0,10.424945831298828
Stefano Turati,45.40628,35.0,10.406280517578125
Cameron Carter-Vickers,64.59458,75.0,10.405418395996094
Sivasakthi Narayanan,20.606754,31.0,10.393245697021484
Yaw Yeboah,24.612434,35.0,10.387565612792969
Joe Ralls,53.61561,64.0,10.384391784667969
Jordi Vanlerberghe,58.628746,69.0,10.371253967285156
Nik Prelec,22.64099,33.0,10.359010696411133
