Nome,Previsto,Effettivo (2024),Differenza
Abu Francis,46.16032,64.0,17.839679718017578
Tijjani Noslin,24.186432,42.0,17.813568115234375
Oregan Ravet,44.8021,27.0,17.802101135253906
Jake Hollman,39.27009,57.0,17.72991180419922
David Turnbull,42.45571,60.0,17.544288635253906
Luke McNicholas,45.51284,28.0,17.512840270996094
Kacper Tobiasz,45.507446,28.0,17.5074462890625
James Nieuwenhuizen,45.50698,28.0,17.506980895996094
Matteo Bignetti,45.506393,28.0,17.506393432617188
Lucien Hawryluk,45.50612,28.0,17.506118774414062
Sem Westerveld,45.505424,28.0,17.50542449951172
Matthew Sutton,45.505016,28.0,17.505016326904297
Andrei Gorcea,45.504406,28.0,17.504405975341797
Ionuț Gurău,45.50385,28.0,17.503849029541016
Magnus Nielsen,45.50342,28.0,17.503421783447266
Vic Chambaere,45.495903,28.0,17.49590301513672
Jodi Jones,26.514698,44.0,17.485301971435547
Jordan Wright,38.479443,21.0,17.479442596435547
Sheriff Sinyan,48.742203,66.0,17.257797241210938
Cameron Harper,31.783836,49.0,17.216163635253906
Connor Malley,35.886696,53.0,17.113304138183594
Emil Bohinen,50.968773,68.0,17.031227111816406
Maximilian Bauer,58.064228,75.0,16.935771942138672
Darren Yapi,38.884514,22.0,16.88451385498047
Sebastiano Luperto,59.170258,76.0,16.829742431640625
Dante Rigo,43.202168,60.0,16.797832489013672
Kegs Chauke,38.22656,55.0,16.773441314697266
Marvin Friedrich,61.24221,78.0,16.757789611816406
Samuel Gustafson,50.37516,67.0,16.624839782714844
Tim Skarke,28.42109,45.0,16.57891082763672
Liam Isherwood,45.51184,29.0,16.5118408203125
Maciej Kowal,45.511616,29.0,16.511615753173828
Gurmeet Singh,45.504696,29.0,16.504695892333984
Heath Richardson,45.504433,29.0,16.504432678222656
Antonio Carrera,45.504192,29.0,16.504192352294922
Rudy Boulais,45.5038,29.0,16.503799438476562
Sławomir Abramowicz,45.503742,29.0,16.503742218017578
Pietro Boer,45.503674,29.0,16.503673553466797
Niraj Kumar,45.503426,29.0,16.50342559814453
Silas Ostrzinski,45.503387,29.0,16.503387451171875
Matthieu Rongier,45.503376,29.0,16.503376007080078
Niklas Hedl,45.5031,29.0,16.503101348876953
Lars Larsson Jendal,45.50274,29.0,16.50273895263672
Maxim Leitsch,57.536938,74.0,16.463062286376953
Jan Reichert,45.43857,29.0,16.438568115234375
Reece Brown,41.57779,58.0,16.422210693359375
Joe Hilton,45.41979,29.0,16.419788360595703
Matteo Rover,23.633486,40.0,16.366514205932617
Jarrod Carluccio,25.790134,42.0,16.20986557006836
Jack Clarke,23.838753,40.0,16.16124725341797
Jaushua Sotirio,27.969437,44.0,16.030563354492188
Riccardo Ciervo,30.038078,46.0,15.961921691894531
Eroll Zejnullahu,43.047028,59.0,15.952972412109375
Jacen Russell-Rowe,31.838985,16.0,15.838985443115234
Ibrahim Cissé,54.201782,70.0,15.7982177734375
Yaimar Medina,39.453213,55.0,15.54678726196289
Alex Palmer,45.516956,30.0,15.516956329345703
Dan Nlundulu,36.51364,21.0,15.513641357421875
Anthony Racioppi,45.512512,30.0,15.51251220703125
Quentin Braat,45.51245,30.0,15.512451171875
Kayne van Oevelen,45.51193,30.0,15.51192855834961
Ross Munro,45.5118,30.0,15.511798858642578
Ryan Schofield,45.51171,30.0,15.511711120605469
Amir Saipi,45.509453,30.0,15.509452819824219
Tobe Leysen,45.508183,30.0,15.508182525634766
Aske Andresen,45.508163,30.0,15.508163452148438
Matthew Cox,45.505188,30.0,15.50518798828125
Meshari Sanyor,45.50479,30.0,15.504791259765625
Sebastian Banozic,45.504333,30.0,15.50433349609375
Obed Nkambadio,45.50413,30.0,15.504131317138672
Kacper Trelowski,45.503914,30.0,15.503913879394531
André Picornell,45.503803,30.0,15.503803253173828
Garissone Innocent,45.50335,30.0,15.503349304199219
James Holden,45.50333,30.0,15.50333023071289
Matěj Kovář,45.50282,30.0,15.502819061279297
Cameron Cook,45.502285,30.0,15.50228500366211
Daniel Margush,45.500698,30.0,15.50069808959961
Sam Long,45.503162,61.0,15.496837615966797
Mauro Luna Diale,42.590908,58.0,15.40909194946289
Rokas Pukstas,45.599922,61.0,15.400077819824219
Ryan Yates,58.637665,74.0,15.362335205078125
Alessandro Buongiorno,63.675087,79.0,15.324913024902344
Marko Milovanović,36.2537,21.0,15.253700256347656
Wout Faes,61.763992,77.0,15.236007690429688
Amadou Bakayoko,25.800514,41.0,15.199485778808594
Edoardo Bove,58.85781,74.0,15.142189025878906
Jairo Concha,44.89432,60.0,15.10567855834961
Jamie McGrath,42.898018,58.0,15.101982116699219
Martin Valjent,61.93511,77.0,15.064891815185547
Bilal Brahimi,31.997032,47.0,15.002967834472656
Nicolás Rossi,36.981586,22.0,14.981586456298828
Kaan Caliskaner,37.97581,23.0,14.975811004638672
Bruno Valdez,59.03788,74.0,14.962120056152344
Heorhii Sudakov,37.10602,52.0,14.893978118896484
Mads Døhr Thychosen,54.158394,69.0,14.841606140136719
Kevin Yakob,47.19141,62.0,14.808589935302734
Oliver Jones,38.243378,53.0,14.756622314453125
Tommaso Milanese,35.262585,50.0,14.737415313720703
Josh Neufville,35.697044,21.0,14.697044372558594
Arianit Ferati,37.410816,52.0,14.589183807373047
Dheeraj Singh Moirangthem,45.5236,31.0,14.523601531982422
Hannes Sveijer,45.516907,31.0,14.51690673828125
Fabian de Keijzer,45.513588,31.0,14.513587951660156
Dennis Smarsch,45.511456,31.0,14.511455535888672
Casper Andersson,45.50783,31.0,14.507831573486328
Jędrzej Grobelny,45.50631,31.0,14.506309509277344
Franco Israel,45.505154,31.0,14.50515365600586
Sebastian Selin,45.50445,31.0,14.504451751708984
Đorđe Petrović,45.503716,31.0,14.503715515136719
Luca Gemello,45.50336,31.0,14.503360748291016
Jack Warshawsky,45.503273,31.0,14.503273010253906
Sulaiman Asiri,32.496902,47.0,14.503097534179688
