Nome,Target,Previsto,Effettivo (2024),Differenza
David Schnegg,overall,63.466106,71.0,7.533893585205078
Aleksa Terzić,overall,64.478935,72.0,7.521064758300781
Kevin Ortiz,overall,62.490376,70.0,7.509624481201172
Anton Eriksson,overall,56.5174,64.0,7.482601165771484
Flavien-Enzo Boyomo,overall,61.528877,69.0,7.471122741699219
Nathaniel Brown,overall,56.53227,64.0,7.467731475830078
Alec Van Hoorenbeeck,overall,58.55967,66.0,7.440330505371094
Vikram Singh,overall,55.425148,48.0,7.425148010253906
Karol Świderski,overall,66.57781,74.0,7.422187805175781
Phillip Tietz,overall,64.59371,72.0,7.406288146972656
Tobias Fleckstein,overall,55.59901,63.0,7.400989532470703
Callum Doyle,overall,63.61333,71.0,7.386669158935547
Andrea Pinamonti,overall,66.62047,74.0,7.3795318603515625
Yusuf Özdemir,overall,57.630577,65.0,7.369422912597656
Simon Ebonog,overall,53.65379,61.0,7.346210479736328
Lucas Souto,overall,58.656933,66.0,7.343067169189453
Fabian Rieder,overall,66.66209,74.0,7.337913513183594
Till Cissokho,overall,58.687725,66.0,7.312274932861328
Edgaras Utkus,overall,58.688473,66.0,7.311527252197266
Santiago Toloza,overall,61.68858,69.0,7.311420440673828
Kamory Doumbia,overall,64.708496,72.0,7.29150390625
Anthony Patterson,overall,63.736538,71.0,7.263462066650391
Manuel García,overall,60.739807,68.0,7.26019287109375
Mohammed Al Dawsari,overall,56.74646,64.0,7.2535400390625
Robin Voisine,overall,53.76211,61.0,7.237888336181641
Nadjib Cissé,overall,53.769234,61.0,7.230766296386719
Yassine Kechta,overall,60.779285,68.0,7.220714569091797
Noé Sow,overall,56.799156,64.0,7.200843811035156
Lucas Lund,overall,61.807037,69.0,7.192962646484375
Maximilian Braune,overall,54.838474,62.0,7.161525726318359
Noah Botić,overall,53.87605,61.0,7.123950958251953
Nathan Tella,overall,66.87765,74.0,7.122352600097656
Lewis Gordon,overall,55.890778,63.0,7.109222412109375
Mateo Gamarra,overall,61.902058,69.0,7.097942352294922
Jan-Christoph Bartels,overall,57.907505,65.0,7.092494964599609
Christian Früchtl,overall,60.92202,68.0,7.077980041503906
Cyril Ngonge,overall,65.926285,73.0,7.0737152099609375
Rune Paeshuyse,overall,56.933304,64.0,7.0666961669921875
Allan Tchaptchet,overall,58.93467,66.0,7.065330505371094
Nico Mantl,overall,61.946285,69.0,7.053714752197266
Samuel Giovane,overall,67.04638,60.0,7.046379089355469
Zakaria Hawsawi,overall,56.957348,64.0,7.042652130126953
Luke McNally,overall,63.964622,71.0,7.035377502441406
Mateusz Wieteska,overall,64.978775,72.0,7.0212249755859375
Alfie Jones,overall,60.986183,68.0,7.013816833496094
Rick van Drongelen,overall,62.987507,70.0,7.012493133544922
Niccolò Corrado,overall,59.99389,67.0,7.006111145019531
Charlie McCann,overall,64.99445,58.0,6.994453430175781
Lucas Mauragis,overall,56.01758,63.0,6.982421875
Barış Alper Yılmaz,overall,65.018814,72.0,6.9811859130859375
Jayden Oosterwolde,overall,62.03409,69.0,6.965911865234375
Manuel Roffo,overall,63.050392,70.0,6.949607849121094
Hugo Vandermersch,overall,62.055283,69.0,6.9447174072265625
Dominic Solanke,overall,68.072876,75.0,6.9271240234375
Kendall Burks,overall,53.078384,60.0,6.9216156005859375
Derry John Murkin,overall,59.087658,66.0,6.912342071533203
Adilson Malanda,overall,58.09596,65.0,6.904041290283203
Aidan Morris,overall,63.10798,70.0,6.892021179199219
Freddie Woodman,overall,67.14463,74.0,6.855369567871094
Michał Karbownik,overall,66.150986,73.0,6.8490142822265625
Miguel Reichmuth,overall,60.84691,54.0,6.8469085693359375
Tadeo Allende,overall,64.168015,71.0,6.8319854736328125
Felipe Valencia,overall,56.831333,50.0,6.831333160400391
Facundo Bruera,overall,65.17496,72.0,6.825042724609375
Taye Ashby-Hammond,overall,57.179356,64.0,6.820644378662109
Emil Kischka,overall,59.82039,53.0,6.8203887939453125
Dmytro Riznyk,overall,64.18568,71.0,6.814323425292969
Javier Casas Jr.,overall,56.773838,50.0,6.773838043212891
Nelson Palacio,overall,64.2269,71.0,6.773101806640625
Jay Idzes,overall,60.229675,67.0,6.77032470703125
Oskar Leśniak,overall,56.766247,50.0,6.766246795654297
Agustín Giay,overall,64.262115,71.0,6.737884521484375
Marcel Lotka,overall,61.293827,68.0,6.706172943115234
Jack Hamilton,overall,54.294235,61.0,6.7057647705078125
Cédric Zesiger,overall,67.30823,74.0,6.6917724609375
Noah Rupp,overall,60.688423,54.0,6.688423156738281
Batista Mendy,overall,65.3174,72.0,6.6826019287109375
James Trafford,overall,64.32648,71.0,6.67352294921875
John Tolkin,overall,64.32855,71.0,6.67144775390625
Erdem Canpolat,overall,58.33853,65.0,6.661468505859375
