Nome,Target,Previsto,Effettivo (2024),Differenza
Fabian Reese,Physicality,67.62713,78.0,10.372871398925781
Nikhil Deka,Physicality,59.34213,49.0,10.34212875366211
Emin Bayram,Physicality,57.67078,68.0,10.329219818115234
Sven Jansen,Physicality,59.32852,49.0,10.328521728515625
Nesta Guinness-Walker,Physicality,54.701305,65.0,10.298694610595703
Kazeem Olaigbe,Physicality,48.749115,59.0,10.250885009765625
Ștefan Mușat,Physicality,59.238754,49.0,10.238754272460938
James Gale,Physicality,58.79237,69.0,10.207630157470703
Steven Hall,Physicality,59.18932,49.0,10.189319610595703
Amrit Gope,Physicality,59.186684,49.0,10.186683654785156
Agustín Cayetano,Physicality,51.817917,62.0,10.182083129882812
Amar Dedić,Physicality,62.819862,73.0,10.180137634277344
Joe Whitworth,Physicality,59.17261,49.0,10.172611236572266
Santiago Núñez,Physicality,69.829445,80.0,10.170555114746094
Murphy Mahoney,Physicality,59.14132,49.0,10.141319274902344
Hakim Guenouche,Physicality,47.869503,58.0,10.130496978759766
Nelson Palacio,Physicality,60.92776,71.0,10.07223892211914
Yusuf Erdoğan,Physicality,53.975006,64.0,10.024993896484375
Trent Buhagiar,Physicality,55.97755,66.0,10.022449493408203
Mamadou Fofana,Physicality,63.985306,74.0,10.014694213867188
Nicolás Valentini,Physicality,63.997665,74.0,10.002334594726562
Jean Lambert Evan's,Physicality,53.05581,63.0,9.944190979003906
Giannis Konstantelias,Physicality,44.082645,54.0,9.917354583740234
Mohamed Kaba,Physicality,67.08667,77.0,9.913330078125
Faris Pemi Moumbagna,Physicality,69.10462,79.0,9.895378112792969
Dominic Solanke,Physicality,69.10681,79.0,9.8931884765625
Joaquín Blázquez,Physicality,59.134983,69.0,9.86501693725586
Amir Saipi,Physicality,59.145523,69.0,9.854476928710938
Marcel Lotka,Physicality,59.175823,69.0,9.824176788330078
Oliver Christensen,Physicality,59.17973,69.0,9.820270538330078
Peter Vindahl Jensen,Physicality,59.18546,69.0,9.81454086303711
Morten Ågnes Konradsen,Physicality,58.19036,68.0,9.809638977050781
Ron-Thorben Hoffmann,Physicality,59.19783,69.0,9.802169799804688
Anthony Racioppi,Physicality,59.203438,69.0,9.796562194824219
Georgios Vagiannidis,Physicality,54.221546,64.0,9.778453826904297
Kieron Bowie,Physicality,66.22275,76.0,9.777252197265625
Conor Bradley,Physicality,59.225365,69.0,9.774635314941406
Guillaume Restes,Physicality,59.231403,69.0,9.768596649169922
Naorem Mahesh Singh,Physicality,48.233612,58.0,9.766387939453125
Mauro Luna Diale,Physicality,55.23851,65.0,9.761489868164062
Kobe Hernández-Foster,Physicality,50.249424,60.0,9.75057601928711
Hannibal Mejbri,Physicality,61.250294,71.0,9.749706268310547
Lucas Lund,Physicality,59.258595,69.0,9.741405487060547
Roman Celentano,Physicality,59.262352,69.0,9.737648010253906
Rafał Strączek,Physicality,59.262753,69.0,9.737247467041016
Cameron Harper,Physicality,46.298813,56.0,9.701187133789062
Mario Stroeykens,Physicality,52.332546,62.0,9.66745376586914
Linton Maina,Physicality,45.34195,55.0,9.658050537109375
Alieu Fadera,Physicality,59.34712,69.0,9.652881622314453
Kevin Schade,Physicality,54.35343,64.0,9.646568298339844
Mateo Gamarra,Physicality,59.372494,69.0,9.627506256103516
Myles Peart-Harris,Physicality,58.42657,68.0,9.573429107666016
Ethan Bristow,Physicality,61.445816,71.0,9.554183959960938
Kylian Kaïboué,Physicality,59.45193,69.0,9.54806900024414
Mamadou Camara,Physicality,55.476738,65.0,9.523262023925781
Facundo Bruera,Physicality,67.4824,77.0,9.517601013183594
Sebastián González,Physicality,53.488403,63.0,9.5115966796875
Jean N'Guessan,Physicality,57.50504,67.0,9.49496078491211
Tadeo Allende,Physicality,60.525326,70.0,9.474674224853516
Thibo Somers,Physicality,68.52974,78.0,9.470260620117188
Leon Dajaku,Physicality,51.590336,61.0,9.409664154052734
Brian Aguirre,Physicality,48.59283,58.0,9.407169342041016
James Nieuwenhuizen,Physicality,59.397297,50.0,9.397296905517578
Julian Stark,Physicality,56.635124,66.0,9.364875793457031
Lennard Maloney,Physicality,74.63873,84.0,9.36126708984375
Niraj Kumar,Physicality,59.335526,50.0,9.335525512695312
Gonzalo Luján,Physicality,66.685555,76.0,9.314445495605469
Antonino Gallo,Physicality,58.703285,68.0,9.296714782714844
Mutlaq Al Hurayji,Physicality,59.292904,50.0,9.292903900146484
Armin Abaz,Physicality,59.28769,50.0,9.287689208984375
Liam Bennett,Physicality,54.716537,64.0,9.283462524414062
Leander Øy,Physicality,59.27029,50.0,9.27029037475586
Alexandru Utiu,Physicality,59.26708,50.0,9.267078399658203
José Arbio,Physicality,59.24844,50.0,9.24843978881836
Bela Dumrath,Physicality,59.241367,50.0,9.24136734008789
Hampus Finndell,Physicality,66.79051,76.0,9.209487915039062
Zac Sapsford,Physicality,43.79468,53.0,9.205318450927734
Joe Hilton,Physicality,59.189354,50.0,9.189353942871094
Nathan Harness,Physicality,59.18571,50.0,9.185710906982422
Jack Lemoignan,Physicality,59.18294,50.0,9.182941436767578
İsmail Yüksek,Physicality,66.81908,76.0,9.180923461914062
Emanuel Emegha,Physicality,64.83253,74.0,9.167472839355469
Osama Al Mermish,Physicality,59.156883,50.0,9.156883239746094
Isaac Olaofe,Physicality,57.849083,67.0,9.150917053222656
Lara Sharma,Physicality,59.14,50.0,9.139999389648438
Alexis Tibidi,Physicality,55.874695,65.0,9.12530517578125
Anuj Kumar,Physicality,59.12341,50.0,9.123409271240234
Franco Fagúndez,Physicality,58.877975,68.0,9.122024536132812
Owen Wolff,Physicality,43.88004,53.0,9.11996078491211
Filip Szymczak,Physicality,57.89549,67.0,9.104511260986328
Anton Krivotsyuk,Physicality,67.91319,77.0,9.086807250976562
Jake Rooney,Physicality,57.913273,67.0,9.086727142333984
José Bolívar,Physicality,58.935448,68.0,9.064552307128906
Kelvin Ehibhatiomhan,Physicality,56.94838,66.0,9.051620483398438
Nigel Lonwijk,Physicality,62.961967,72.0,9.038032531738281
Lohann Doucet,Physicality,53.006786,62.0,8.993213653564453
Harold Moukoudi,Physicality,77.00964,86.0,8.9903564453125
Ole Pohlmann,Physicality,60.03546,69.0,8.96453857421875
Antwoine Hackford,Physicality,44.055714,53.0,8.944286346435547
Eric Martel,Physicality,71.09924,80.0,8.9007568359375
Stephen Kelly,Physicality,55.118492,64.0,8.881507873535156
Mandela Keita,Physicality,62.12524,71.0,8.874759674072266
Evan McLaughlin,Physicality,43.86948,35.0,8.86948013305664
Steve Ngoura,Physicality,44.146355,53.0,8.853645324707031
Carl Rushworth,Physicality,59.156567,68.0,8.843433380126953
Lucas Souto,Physicality,55.16469,64.0,8.835311889648438
Hakon Valdimarsson,Physicality,59.172462,68.0,8.827537536621094
Nicolas Kristof,Physicality,59.18602,68.0,8.813980102539062
Ben Knight,Physicality,46.809322,38.0,8.809322357177734
Quentin Braat,Physicality,59.19839,68.0,8.80160903930664
Jostin Alarcón,Physicality,59.21324,68.0,8.786758422851562
Bartosz Mrozek,Physicality,59.21681,68.0,8.783191680908203
Mathias Løvik,Physicality,54.217583,63.0,8.782417297363281
Bart Verbruggen,Physicality,59.225433,68.0,8.774566650390625
